"y1","y2","st"
0,0,2
1,0,3
1,1,1
1,2,3
1,3,3
1,4,3
1,5,1
1,6,3
1,7,3
2,0,2
2,1,4
2,2,2
2,3,2
2,4,2
2,5,4
2,6,2
2,7,2
3,0,2
3,1,4
3,2,2
3,3,2
3,4,2
3,5,4
3,6,2
3,7,2
4,0,2
4,1,4
4,2,2
4,3,2
4,4,2
4,5,4
4,6,2
4,7,2
5,0,3
5,1,1
5,2,3
5,3,3
5,4,3
5,5,1
5,6,3
5,7,3
6,0,2
6,1,4
6,2,2
6,3,2
6,4,2
6,5,4
6,6,2
6,7,2
7,0,2
7,1,4
7,2,2
7,3,2
7,4,2
7,5,4
7,6,2
7,7,2
15,15,15
