"y1","y2","st"
1,0,8
1,1,1
1,2,0
1,3,0
1,4,8
1,5,9
1,6,0
1,7,0
2,0,13
2,1,0
2,2,2
2,3,0
2,4,0
2,5,11
2,6,0
2,7,0
3,0,13
3,1,0
3,2,0
3,3,3
3,4,0
3,5,11
3,6,0
3,7,0
4,0,13
4,1,0
4,2,0
4,3,0
4,4,4
4,5,11
4,6,0
4,7,0
5,0,14
5,1,5
5,2,14
5,3,14
5,4,14
5,5,5
5,6,14
5,7,14
6,0,13
6,1,0
6,2,0
6,3,0
6,4,0
6,5,11
6,6,6
6,7,0
7,0,13
7,1,0
7,2,0
7,3,0
7,4,0
7,5,11
7,6,0
7,7,3
15,15,15
